dict_name	en
!	!
#	#
*	*
100-299人	100-299 Employees
1000-9999人	1,000-9,999 Employees
10000人以上	10,000+ Employees
10条/次	10 Records per Call
16:9	16:9
20-99人	20-99 Employees
20人以下	Fewer than 20 Employees
300-499人	300-499 Employees
32:9	32:9
500-999人	500-999 Employees
@	@
API	API
API产品	API Product
A社会信用代码	Social Credit Code A
A组织机构	Organization A
BCrypt	BCrypt
B社会信用代码	Social Credit Code B
B组织机构	Organization B
DELETE	DELETE
GET	GET
IP白名单访问控制	IP Whitelist Access Control
MD5	MD5
MD5处理	MD5 Processing
MP4	MP4
PBKDF2	PBKDF2
POST	POST
PUT	PUT
S1	S1
S2	S2
S3	S3
SCrypt	SCrypt
SHA256	SHA256
SQL条件连接符	SQL Condition Connector
WEB资源	WEB Resource
WMV	WMV
and	and
and not	and not
begin with	begin with
clickhouse	ClickHouse
client credentials模式	Client Credentials Mode
contains	contains
does not begin with	does not begin with
does not contain	does not contain
end with	end with
hbase	HBase
hdfs	HDFS
hive	Hive
is between	is between
is empty	is empty
is equal to	is equal to
is greater than	is greater than
is greater than or equal to	is greater than or equal to
is less than	is less than
is less than or equal to	is less than or equal to
is not between	is not between
is not empty	is not empty
is not equal to	is not equal to
is not null	is not null
is null	is null
kafka	Kafka
mongodb	MongoDB
mysql	MySQL
or	or
or not	or not
oracle	Oracle
postgresql	PostgreSQL
sqlserver	SQL Server
一次性	One-time
一级	Level 1
三级	Level 3
不限	Unlimited
专线	Dedicated Line
个人	Individual
个人数据	Personal Data
个人隐私数据	Personal Privacy Data
个人隐私数据,企业数据	Personal Privacy Data, Enterprise Data
中级	Intermediate
主管部门	Competent Authority
主题	Theme
二级	Level 2
互联网（固定公网IP）	Internet (Fixed Public IP)
互联网（无固定公网IP）	Internet (No Fixed Public IP)
交易方式	Transaction Method
交易等级	Transaction Level
交通	Transportation
交通运输	Transportation
交通运输、仓储和邮政业	Transport, Storage and Postal Services
交通运输业	Transportation Industry
交通领域	Transportation Field
产品状态	Product Status
产品登记	Product Registration
产品类型	Product Type
产品需求	Product Demand
亮色	Light
人员	Personnel
任意	Any
企业	Enterprise
企业数据	Enterprise Data
企业活动	Enterprise Activity
位置	Position
住宿和餐饮业	Accommodation and Catering
信息传输、软件和信息技术服务业	Information Transmission, Software and IT Services
免费	Free
全功能型接入连接器	Full-featured Access Connector
公共事业单位	Public Institution
公共数据	Public Data
公共数据,个人隐私数据	Public Data, Personal Privacy Data
公共数据,个人隐私数据,企业数据	Public Data, Personal Privacy Data, Enterprise Data
公共数据，企业数据	Public Data, Enterprise Data
公共管理、社会保障和社会组织	Public Administration, Social Security and Social Organizations
公开招标	Open Tendering
公益类项目	Public Welfare Project
其他	Other
养老领域	Elderly Care Field
军官证	Military Officer ID
农、林、牧、渔业	Agriculture, Forestry, Animal Husbandry and Fishery
初级	Junior
制造业	Manufacturing
刷新令牌	Refresh Token
前后缀增补	Prefix/Suffix Padding
加密方式	Encryption Method
动态图	Dynamic Image
包年	Annual Subscription
包月	Monthly Subscription
区划类型	Division Type
区县级	County Level
区块	Block
区域类型	Region Type
医疗	Healthcare
医疗健康	Healthcare
医疗领域	Healthcare Field
华东地区	East China
